Season,Guest star,Role(s),No.,Prod. code,Episode title
1,Marcia Wallace,Edna Krabappel::Ms. Melon,002–102,7G02,"""Bart the Genius"""
1,Sam McMurray,Worker,003–103,7G03,"""Homer's Odyssey"""
1,Marcia Wallace,Edna Krabappel,003–103,7G03,"""Homer's Odyssey"""
1,Miriam Flynn,Ms. Barr,006–106,7G06,"""Moaning Lisa"""
1,Ron Taylor,Bleeding Gums Murphy,006–106,7G06,"""Moaning Lisa"""
1,Albert Brooks,Cowboy Bob,007–107,7G09,"""The Call of the Simpsons"""
1,Marcia Wallace,Edna Krabappel,008–108,7G07,"""The Telltale Head"""
1,Albert Brooks,Jacques,009–109,7G11,"""Life on the Fast Lane"""
1,Sam McMurray,Gulliver Dark,010–110,7G10,"""Homer's Night Out"""
1,Christian Coffinet,Gendarme Officer,011–111,7G13,"""The Crepes of Wrath"""
1,Kelsey Grammer,Sideshow Bob,012–112,7G12,"""Krusty Gets Busted"""
1,June Foray,Babysitter service receptionist::Doofy the Elf,013–113,7G01,"""Some Enchanted Evening"""
1,Penny Marshall,Ms. Botz / Lucille Botzcowski,013–113,7G01,"""Some Enchanted Evening"""
1,Paul Willson,Florist,013–113,7G01,"""Some Enchanted Evening"""
2,Marcia Wallace,Edna Krabappel,014–201,7F03,"""Bart Gets an ""F"""""
2,Harvey Fierstein,Karl,015–202,7F02,"""Simpson and Delilah"""
2,James Earl Jones,Removal man::Serak the Preparer::Narrator,016–203,7F04,"""Treehouse of Horror"""
2,Tony Bennett,Himself,018–205,7F05,"""Dancin' Homer"""
2,Daryl Coley,Bleeding Gums Murphy,018–205,7F05,"""Dancin' Homer"""
2,Ken Levine,Dan Horde,018–205,7F05,"""Dancin' Homer"""
2,Tom Poston,Capital City Goofball,018–205,7F05,"""Dancin' Homer"""
2,Greg Berg,"Rory::Eddie::Radio voice::""Hooray for Everything"" Announcer::Security Man",020–207,7F07,"""Bart vs. Thanksgiving"""
2,Carol Kane,Maggie Simpson,020–207,7F07,"""Bart vs. Thanksgiving"""
2,Alex Rocco,Roger Meyers Jr.,022–209,7F09,"""Itchy & Scratchy & Marge"""
2,Phil Hartman,Lionel Hutz::Heaven,023–210,7F10,"""Bart Gets Hit by a Car"""
2,Larry King,Himself,024–211,7F11,"""One Fish, Two Fish, Blowfish, Blue Fish"""
2,Joey Miyashima,Toshiro,024–211,7F11,"""One Fish, Two Fish, Blowfish, Blue Fish"""
2,Sab Shimono,Master Sushi Chef,024–211,7F11,"""One Fish, Two Fish, Blowfish, Blue Fish"""
2,George Takei,Akira,024–211,7F11,"""One Fish, Two Fish, Blowfish, Blue Fish"""
2,Diana Tanaka,Hostess,024–211,7F11,"""One Fish, Two Fish, Blowfish, Blue Fish"""
2,Jon Lovitz,Artie Ziff::Mr. Seckofsky,025–212,7F12,"""The Way We Was"""
2,Phil Hartman,Troy McClure::Moses::Cable guy,026–213,7F13,"""Homer vs. Lisa and the 8th Commandment"""
2,Marcia Wallace,Edna Krabappel,027–214,7F15,"""Principal Charming"""
2,Danny DeVito,Herbert Powell,028–215,7F16,"""Oh Brother, Where Art Thou?"""
2,Tracey Ullman,Emily Winthropp::Sylvia Winfield,029–216,7F14,"""Bart's Dog Gets an F"""
2,Frank Welker,Santa's Little Helper::Additional dog voices,029–216,7F14,"""Bart's Dog Gets an F"""
2,Phil Hartman,Lionel Hutz::Plato,030–217,7F17,"""Old Money"""
2,Audrey Meadows,Bea Simmons,030–217,7F17,"""Old Money"""
2,Marcia Wallace,Edna Krabappel,030–217,7F17,"""Old Money"""
2,Jon Lovitz,Professor Lombardo,031–218,7F18,"""Brush with Greatness"""
2,Ringo Starr,Himself,031–218,7F18,"""Brush with Greatness"""
2,Dustin Hoffman,Mr. Bergstrom,032–219,7F19,"""Lisa's Substitute"""
2,Marcia Wallace,Edna Krabappel,032–219,7F19,"""Lisa's Substitute"""
2,Cloris Leachman,Mrs. Glick,034–221,7F21,"""Three Men and a Comic Book"""
2,Daniel Stern,Narrator,034–221,7F21,"""Three Men and a Comic Book"""
3,Michael Jackson,Leon Kompowsky,036–301,7F24,"""Stark Raving Dad""::"
3,Kipp Lennon,Leon Kompowsky's singing voice,036–301,7F24,"""Stark Raving Dad"""
3,Lona Williams,Minnesota girl,037–302,8F01,"""Mr. Lisa Goes to Washington"""
3,Neil Patrick Harris,Himself playing Bart Simpson,039–304,8F03,"""Bart the Murderer"""
3,Phil Hartman,Lionel Hutz::Troy McClure::Joey::Godfather,039–304,8F03,"""Bart the Murderer"""
3,Joe Mantegna,Fat Tony::Himself playing Fat Tony,039–304,8F03,"""Bart the Murderer"""
3,Marcia Wallace,Edna Krabappel,039–304,8F03,"""Bart the Murderer"""
3,Chick Hearn,Himself,040–305,8F04,"""Homer Defined"""
3,Magic Johnson,Himself,040–305,8F04,"""Homer Defined"""
3,Jon Lovitz,Aristotle Amadopolis::Mr. Devaro,040–305,8F04,"""Homer Defined"""
3,Jackie Mason,Rabbi Hyman Krustofsky,041–306,8F05,"""Like Father, Like Clown"""
3,Marcia Wallace,Edna Krabappel,042–307,8F02,"""Treehouse of Horror II"""
3,Marcia Wallace,Edna Krabappel,043–308,8F06,"""Lisa's Pony"""
3,Frank Welker,Princess,043–308,8F06,"""Lisa's Pony"""
3,Phil Hartman,Troy McClure,044–309,8F07,"""Saturdays of Thunder"""
3,Larry McKay,Announcer,044–309,8F07,"""Saturdays of Thunder"""
3,Aerosmith,Themselves,045–310,8F08,"""Flaming Moe's"""
3,Phil Hartman,Lionel Hutz,045–310,8F08,"""Flaming Moe's"""
3,Kipp Lennon,"Sings ""Flaming Moe's"" (parody of the Cheers theme song)",045–310,8F08,"""Flaming Moe's"""
3,Marcia Wallace,Edna Krabappel,045–310,8F08,"""Flaming Moe's"""
3,Phil Hartman,Horst::Stockbroker,046–311,8F09,"""Burns Verkaufen der Kraftwerk"""
3,Sting,Himself,048–313,8F11,"""Radio Bart"""
3,Marcia Wallace,Edna Krabappel,048–313,8F11,"""Radio Bart"""
3,Phil Hartman,Troy McClure::Smooth Jimmy Apollo,049–314,8F12,"""Lisa the Greek"""
3,Phil Hartman,Troy McClure,050–315,8F14,"""Homer Alone"""
3,Marcia Wallace,Edna Krabappel,051–316,8F16,"""Bart the Lover"""
3,Wade Boggs,Himself,052–317,8F13,"""Homer at the Bat"""
3,Jose Canseco,Himself,052–317,8F13,"""Homer at the Bat"""
3,Roger Clemens,Himself,052–317,8F13,"""Homer at the Bat"""
3,Terry Cashman,"Sings ""Talkin' Softball"" (parody of the song Talkin' Baseball)",052–317,8F13,"""Homer at the Bat"""
3,"Ken Griffey, Jr.",Himself,052–317,8F13,"""Homer at the Bat"""
3,Don Mattingly,Himself,052–317,8F13,"""Homer at the Bat"""
3,Steve Sax,Himself,052–317,8F13,"""Homer at the Bat"""
3,Mike Scioscia,Himself,052–317,8F13,"""Homer at the Bat"""
3,Ozzie Smith,Himself,052–317,8F13,"""Homer at the Bat"""
3,Darryl Strawberry,Himself,052–317,8F13,"""Homer at the Bat"""
3,Steve Allen,Electronically altered voice of Bart,053–318,8F15,"""Separate Vocations"""
3,Marcia Wallace,Edna Krabappel,053–318,8F15,"""Separate Vocations"""
3,Frank Welker,Santa's Little Helper,054–319,8F17,"""Dog of Death"""
