signature,n,elements
deiinoopst,2,positioned|deposition
aegrst,2,greats|grates
acnort,3,cantor|carnot|carton
aaclsu,2,casual|causal
ceorssu,4,croesus|sucrose|sources|courses
adehrr,2,erhard|harder
begilnss,2,blessing|glibness
abdeerst,2,breasted|debaters
esty,2,yest|stye
adefrt,3,rafted|farted|dafter
abmru,2,burma|rumba
aels,6,elsa|sale|ales|seal|lesa|leas
cddeeinrs,2,rescinded|discerned
aers,6,sera|eras|sear|ears|ares|arse
eimrss,2,remiss|misers
flosw,3,wolfs|fowls|flows
eenprsst,3,presents|pertness|serpents
aerstw,3,waster|waters|rawest
acns,2,scan|cans
adenrs,3,andres|sander|snared
bcklnosu,2,unblocks|sunblock
fglos,2,flogs|golfs
celnoy,2,conley|ceylon
defmors,2,deforms|serfdom
btu,3,tub|but|btu
adeeirst,2,steadier|readiest
eekl,3,leek|klee|keel
orsty,3,tyros|troys|story
deinoops,2,poseidon|poisoned
nru,2,urn|run
deep,2,deep|peed
aacorsttu,2,autocrats|actuators
abekl,2,blake|bleak
adeenr,3,earned|neared|endear
deir,3,reid|ride|dire
eoprstu,3,troupes|proteus|posture
adeisstt,2,staidest|distaste
aamr,2,mara|rama
adily,2,daily|lydia
elpssu,2,pulses|pluses
amorsy,2,morays|mayors
deoprstu,3,sprouted|proudest|postured
aacestv,2,vacates|caveats
aeelprstt,2,saltpetre|saltpeter
eehloprrstu,2,upholsterer|reupholster
alosv,2,ovals|salvo
acehrrst,2,chartres|charters
beglu,2,bulge|bugle
acrs,3,arcs|cars|scar
aehrssw,2,hawsers|washers
aceeinnrst,2,transience|nectarines
deeginrss,2,redesigns|designers
aenrstu,2,natures|saunter
beor,4,ebro|bore|boer|robe
deeirrt,3,retired|tireder|retried
aailmns,3,malians|animals|manilas
ceginorst,2,corseting|escorting
eefiirst,2,fieriest|feistier
adrw,2,ward|draw
aeemnssttt,2,testaments|statements
acry,3,cray|racy|cary
eenst,2,teens|tense
ddey,2,eddy|dyed
acdeilms,3,declaims|medicals|decimals
abinr,3,brian|brain|rabin
chikst,2,kitsch|shtick
acmsu,2,camus|sumac
dellorst,2,strolled|drollest
deirs,3,sired|dries|rides
eersv,4,sever|veers|serve|verse
aber,3,reba|bare|bear
ehirtw,3,writhe|whiter|wither
ehilprst,2,philters|philtres
ginsu,3,suing|using|ginsu
hist,3,shit|this|hits
ailt,2,alit|tail
ceikorst,2,stockier|rockiest
aceinnst,3,instance|ancients|canniest
eosw,2,woes|owes
eessx,2,sexes|essex
aegiinnortt,2,orientating|integration
abinost,2,bastion|obtains
agilnst,4,slating|staling|salting|lasting
grsu,2,grus|rugs
aeegnrv,2,avenger|engrave
agghinns,2,hangings|gnashing
deeilrsv,3,delivers|slivered|silvered
abeeginrv,2,bereaving|beavering
chkos,2,shock|hocks
aeinrv,3,naiver|vainer|ravine
adegilns,2,signaled|dealings
aer,4,ear|are|rae|era
aersttu,2,astuter|stature
adeelry,2,layered|relayed
aelprsy,5,parsley|parleys|sparely|players|replays
abbbgiln,2,blabbing|babbling
defgit,2,gifted|fidget
acinotu,2,caution|auction
ceirrstt,3,restrict|stricter|critters
deossu,2,soused|douses
cersttu,2,curtest|cutters
ikrs,3,kris|risk|irks
addemn,3,damned|demand|madden
ehlsstu,3,sleuths|lushest|hustles
abt,2,bat|tab
aeprt,4,prate|apter|taper|petra
degio,2,dogie|diego
eginors,2,ignores|regions
efnr,2,fern|nerf
aceennrst,2,renascent|entrances
ffist,2,tiffs|stiff
einr,2,rein|erin
abdr,3,brad|bard|drab
bp,2,pb|bp
aelrst,5,staler|alters|slater|salter|alerts
aegilnt,3,elating|gelatin|genital
acorst,6,costar|croats|scrota|castor|actors|castro
aceilrt,2,article|recital
ilms,2,mils|slim
giiknps,2,spiking|pigskin
ainsst,2,saints|stains
aelmnt,4,mantel|lament|mental|mantle
eilppst,2,tipples|stipple
aeemnsst,2,massenet|tameness
below,3,bowel|below|elbow
aelnor,5,lorena|loaner|lenora|elanor|elnora
eeipppr,2,peppier|preppie
aehimpssty,2,sympathise|sympathies
eimrst,6,mitres|mister|timers|miters|remits|merits
bdeor,2,bored|robed
egimnpt,2,temping|pigment
aeinrrst,5,retrains|terrains|trainers|strainer|restrain
ceeptx,2,expect|except
eeerrsv,4,reserve|reverse|reveres|severer
egor,4,ergo|ogre|roeg|gore
aenrs,4,snare|earns|nears|saner
aegimns,3,seaming|gamines|enigmas
eeprs,3,peers|speer|spree
acdeinotu,3,cautioned|education|auctioned
alps,4,slap|laps|pals|alps
amst,3,mats|tams|mast
aacflrt,2,flatcar|fractal
aelpry,4,player|parley|pearly|replay
dew,2,dew|wed
aehmnors,2,menorahs|horseman
abelr,2,blare|abler
adekn,2,naked|knead
adnors,2,adorns|sondra
abddeor,2,roadbed|boarded
adenpp,2,napped|append
adeknr,5,darken|ranked|danker|narked|kendra
aginst,2,sating|giants
acehlrs,2,charles|larches
addlnoosw,2,woodlands|downloads
addeln,2,landed|dandle
ceimsu,3,emusic|miscue|cesium
einprs,2,ripens|sniper
amry,3,army|myra|mary
